Name,Project Accession,Publication Date,Authors,Author Text,Journal,Related Concepts,Link,Description,Abstract,PDF,Data Types,Added By,Field 14
,PRJNA539200,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539201,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539202,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539203,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539204,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539205,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539206,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539207,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539208,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539209,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539210,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539211,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539212,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539213,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539214,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539215,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539216,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539217,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539218,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539219,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539220,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539221,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539222,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539223,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,	PRJNA539224,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539226,,,,,"Enriched cells,coal metagenome,Powder River Basin",,,"Enriched cells from coal bed in the Powder River Basin, Montana, United States",,Metagenomic,Suraj Patel,
,PRJNA539227,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539228,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539229,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539230,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539231,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539232,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539233,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539234,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539235,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539236,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539237,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539238,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539239,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539240,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539241,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539242,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539243,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539244,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539245,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
	,	PRJNA539246,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539247,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539248,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539249,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539250,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539251,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539252,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539253,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539254,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539255,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539256,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539257,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539258,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539259,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539260,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539261,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539262,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539263,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539264,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539265,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539266,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539267,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539268,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539269,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539270,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539271,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539272,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539273,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539274,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539275,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539276,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539277,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539278,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539279,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539280,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539281,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539282,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539283,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539284,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539285,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539286,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539287,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539288,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539289,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539290,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539291,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539292,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539293,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539294,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539295,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539296,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539297,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539298,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539299,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539300,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539301,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539302,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539303,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539304,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539305,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,	PRJNA539306,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539307,,,,,"Sorted cell/s,seawater metagenome,Uncultured microbe",,,"Sorted cell/s from seawater in Monterey Bay, California, United States",,Metagenomic,Suraj Patel,
,PRJNA539308,,,,,"Cryopeg brine microbial communities,brine metagenome,CBIW 2018 metagenome",,,"Cryopeg brine microbial communities from Beaufort Sea near Barrow, Alaska, United States",,Metagenomic,Suraj Patel,
,PRJNA539309,,,,,"Cryopeg brine microbial communities,brine metagenome,CBIW 2018 metagenome",,,"Cryopeg brine microbial communities from Beaufort Sea near Barrow, Alaska, United States",,Metagenomic,Suraj Patel,
,PRJNA539310,,,,,"Cryopeg brine microbial communities,brine metagenome,CBIW 2018 metagenome",,,"Cryopeg brine microbial communities from Beaufort Sea near Barrow, Alaska, United States",,Metagenomic,Suraj Patel,
,PRJNA539311,,,,,"Sediment microbial communities,Yellowstone Lake",,,"Sediment microbial communities from Yellowstone Lake, YNP, Wyoming, USA",,Metagenomic,Suraj Patel,
,PRJNA444970,,,,,"soil metagenome,ecological metagenomes,metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Indian Creek, Utah, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444971,,,,,"soil metagenome,ecological metagenomes,metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Indian Creek, Utah, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444972,,,,,"soil metagenome,ecological metagenomes,metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Oak Creek, Arizona, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444973,,,,,"soil metagenome,ecological metagenomes,Metagenome,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Blue River, Arizona, USA
",,Metagenomic,Alleyah Hanson,
,PRJNA444974,,,,,"soil metagenome,ecological metagenomes,metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Blue River, Arizona, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444975,,,,,"soil metagenome,ecological metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Weber River, Utah, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444976,,,,,"soil metagenome,ecological metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Weber River, Utah, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444977,,,,,"soil metagenome,ecological metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Shoshone River, Wyoming, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444978,,,,,"soil metagenome,ecological metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Shoshone River, Wyoming, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444979,,,,,"soil metagenome,ecological metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Yellowstone River, Montana, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444980,,,,,"soil metagenome,ecological metagenomes,unclassified sequences",,,"Populus adjacent soil microbial communities from riparian zone of Yellowstone River, Montana, USA",,Metagenomic,Alleyah Hanson,
,PRJNA444981,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds microbial mats in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444982,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds microbial mats in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444983,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds microbial mats in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444984,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds microbial mats in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444985,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds microbial mats in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444986,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds microbial mats in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444987,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444988,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444989,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444990,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444991,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444992,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444993,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444994,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444995,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444996,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444997,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444998,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA444999,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA445000,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA445001,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA445002,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA445003,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
,PRJNA445004,,,,,"hydrothermal vent metagenome,ecological metagenomes,unclassified sequences",,,"Chains of large sulfur bacteria (LSB) and adherent epibionts from hydrothermal sulfide chimneys and mounds sediments in Southern Trench, Guaymas Basin",,Metagenomic,Alleyah Hanson,
