,assembled,sample_id,project_id,TMDB_material,creation_date,average_length,sequence_count,basepairs_count,source_database,mean_quality_SRA,quality_above_30_SRA,sample_collection_date,TMDB_biome,project_name,seq_platform,sample_depth,sample_latitude,sample_location,sample_longitude,TMDB_water_location,TMDB_water_type,TMDB_soil_condition,sample_elevation,TMDB_water_condition,TMDB_organic_material,TMDB_soil_type,TMDB_other_material,TMDB_anthropogenic_material,TMDB_soil_location,TMDB_gas,TMDB_sediment,TMDB_sludge,sample_ph,sample_temp
SRR3053181,No,SRS1222718,SRX1501524,soil; water,2016-03-21,202.0,20693771.0,4180141742.0,SRA,36.3,94.0,2013-12-03,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053182,No,SRS1222717,SRX1501525,soil; water,2016-03-21,202.0,27606989.0,5576611778.0,SRA,36.2,94.0,2013-12-03,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053183,No,SRS1222716,SRX1501526,soil; water,2016-03-21,202.0,24814808.0,5012591216.0,SRA,34.72,89.0,2013-08-30,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053184,No,SRS1222714,SRX1501527,soil; water,2016-03-21,202.0,22891645.0,4624112290.0,SRA,34.65,88.0,2014-01-08,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053185,No,SRS1222715,SRX1501528,soil; water,2016-03-21,202.0,23941277.0,4836137954.0,SRA,35.75,92.0,2013-12-08,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053186,No,SRS1222713,SRX1501529,soil; water,2016-03-21,202.0,18109616.0,3658142432.0,SRA,34.67,89.0,2013-09-06,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053187,No,SRS1222712,SRX1501530,soil; water,2016-03-21,202.0,26283416.0,5309250032.0,SRA,35.82,92.0,2014-01-07,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053188,No,SRS1222711,SRX1501531,soil; water,2016-03-21,202.0,24345803.0,4917852206.0,SRA,35.86,92.0,2013-12-03,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053189,No,SRS1222710,SRX1501532,soil; water,2016-03-21,202.0,27875170.0,5630784340.0,SRA,35.86,92.0,2013-09-06,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053190,No,SRS1222680,SRX1501533,soil; water,2016-03-21,202.0,20224286.0,4085305772.0,SRA,35.61,91.0,2014-01-20,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053191,No,SRS1222709,SRX1501534,soil; water,2016-03-21,202.0,18998515.0,3837700030.0,SRA,35.46,91.0,2013-09-06,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053192,No,SRS1222708,SRX1501535,soil; water,2016-03-21,202.0,23125603.0,4671371806.0,SRA,35.82,92.0,2013-12-23,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053193,No,SRS1222706,SRX1501536,soil; water,2016-03-21,202.0,15659017.0,3163121434.0,SRA,34.27,87.0,2013-07-19,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053194,No,SRS1222707,SRX1501537,soil; water,2016-03-21,202.0,25627697.0,5176794794.0,SRA,35.48,91.0,2014-01-20,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053195,No,SRS1222705,SRX1501538,soil; water,2016-03-21,202.0,20706507.0,4182714414.0,SRA,34.72,89.0,2013-09-06,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053196,No,SRS1222703,SRX1501539,soil; water,2016-03-21,202.0,19686838.0,3976741276.0,SRA,35.62,91.0,2014-01-07,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053197,No,SRS1222704,SRX1501540,soil; water,2016-03-21,202.0,20125813.0,4065414226.0,SRA,34.31,87.0,2014-01-08,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053198,No,SRS1222702,SRX1501541,soil; water,2016-03-21,202.0,27357475.0,5526209950.0,SRA,34.96,89.0,2013-08-30,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053199,No,SRS1222701,SRX1501542,soil; water,2016-03-21,202.0,21133438.0,4268954476.0,SRA,34.87,89.0,2013-07-19,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053200,No,SRS1222700,SRX1501543,soil; water,2016-03-21,202.0,17453113.0,3525528826.0,SRA,34.82,89.0,2013-07-19,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053201,No,SRS1222699,SRX1501544,soil; water,2016-03-21,202.0,18059555.0,3648030110.0,SRA,34.4,87.0,2013-12-09,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053202,No,SRS1222698,SRX1501545,soil; water,2016-03-21,202.0,19778583.0,3995273766.0,SRA,34.95,89.0,2013-07-19,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053203,No,SRS1222697,SRX1501546,soil; water,2016-03-21,202.0,15531321.0,3137326842.0,SRA,34.12,86.0,2013-12-04,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053204,No,SRS1222696,SRX1501547,soil; water,2016-03-21,202.0,28199326.0,5696263852.0,SRA,35.38,91.0,2013-09-06,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053205,No,SRS1222695,SRX1501548,soil; water,2016-03-21,202.0,11794899.0,2382569598.0,SRA,33.65,85.0,2013-12-24,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053206,No,SRS1222694,SRX1501549,soil; water,2016-03-21,202.0,24396564.0,4928105928.0,SRA,35.83,92.0,2014-01-21,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053207,No,SRS1222675,SRX1501550,soil; water,2016-03-21,202.0,8851072.0,1787916544.0,SRA,35.45,91.0,2013-12-04,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053208,No,SRS1222693,SRX1501551,soil; water,2016-03-21,202.0,10922699.0,2206385198.0,SRA,35.34,91.0,2014-01-21,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053209,No,SRS1222692,SRX1501552,soil; water,2016-03-21,202.0,8909858.0,1799791316.0,SRA,35.28,90.0,2013-12-08,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053210,No,SRS1222690,SRX1501553,soil; water,2016-03-21,202.0,11187686.0,2259912572.0,SRA,35.58,91.0,2014-01-08,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053211,No,SRS1222691,SRX1501554,soil; water,2016-03-21,202.0,9996100.0,2019212200.0,SRA,35.43,91.0,2013-12-09,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053212,No,SRS1222689,SRX1501555,soil; water,2016-03-21,202.0,9241995.0,1866882990.0,SRA,35.38,91.0,2014-01-21,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053213,No,SRS1222678,SRX1501556,soil; water,2016-03-21,202.0,6783439.0,1370254678.0,SRA,35.18,90.0,2014-01-20,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053214,No,SRS1222676,SRX1501557,soil; water,2016-03-21,202.0,27104178.0,5475043956.0,SRA,35.9,93.0,2013-09-06,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053215,No,SRS1222688,SRX1501558,soil; water,2016-03-21,202.0,8596646.0,1736522492.0,SRA,35.45,91.0,2013-12-24,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053216,No,SRS1222677,SRX1501559,soil; water,2016-03-21,202.0,9290564.0,1876693928.0,SRA,35.51,91.0,2014-01-08,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053217,No,SRS1222687,SRX1501560,soil; water,2016-03-21,202.0,6266809.0,1265895418.0,SRA,34.25,88.0,2014-01-07,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053218,No,SRS1222686,SRX1501561,soil; water,2016-03-21,202.0,32580409.0,6581242618.0,SRA,35.2,89.0,2013-12-11,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053219,No,SRS1222685,SRX1501562,soil; water,2016-03-21,202.0,25967870.0,5245509740.0,SRA,35.21,90.0,2013-01-22,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053220,No,SRS1222679,SRX1501563,soil; water,2016-03-21,202.0,42871165.0,8659975330.0,SRA,34.48,87.0,2014-01-10,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053221,No,SRS1222684,SRX1501564,soil; water,2016-03-21,202.0,31420332.0,6346907064.0,SRA,34.41,87.0,2013-12-05,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053222,No,SRS1222683,SRX1501565,soil; water,2016-03-21,202.0,28168282.0,5689992964.0,SRA,34.46,87.0,2013-01-22,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053223,No,SRS1222682,SRX1501566,soil; water,2016-03-21,202.0,30256616.0,6111836432.0,SRA,34.42,87.0,2014-01-10,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3053224,No,SRS1222681,SRX1501567,soil; water,2016-03-21,202.0,25563181.0,5163762562.0,SRA,34.43,87.0,2013-12-27,,Beef Production Metagenome Raw sequence reads,ILLUMINA,,,United States of America,,,drinking water,,,,,,,,,,,,,
SRR3065626,No,SRS1228690,SRX1508115,sludge; water,2016-12-30,202.0,64015222.0,12931074844.0,SRA,35.5,91.0,2011-10-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,23.12,,113.24,,waste water,,,,,,,,,,,,,
SRR3065653,No,SRS1228690,SRX1508115,sludge; water,2016-12-30,250.0,30679622.0,7671442948.0,SRA,33.16,82.0,2011-10-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,23.12,,113.24,,waste water,,,,,,,,,,,,,
SRR3065759,No,SRS1228693,SRX1508146,sludge; water,2016-12-30,202.0,50921673.0,10286177946.0,SRA,35.53,91.0,2011-11-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,22.5035,,114.1354,,waste water,,,,,,,,,,,,,
SRR3065760,No,SRS1228693,SRX1508146,sludge; water,2016-12-30,297.0,57670492.0,17147788408.0,SRA,32.5,79.0,2011-11-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,22.5035,,114.1354,,waste water,,,,,,,,,,,,,
SRR3065761,No,SRS1228695,SRX1508147,sludge; water,2016-12-30,202.0,57863790.0,11688485580.0,SRA,34.64,89.0,2011-11-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,22.5035,,114.1354,,waste water,,,,,,,,,,,,,
SRR3065762,No,SRS1228695,SRX1508147,sludge; water,2016-12-30,297.0,57229560.0,17022524192.0,SRA,32.37,79.0,2011-11-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,22.5035,,114.1354,,waste water,,,,,,,,,,,,,
SRR3065763,No,SRS1220727,SRX1508148,sludge; water,2016-12-30,202.0,57834020.0,11682472040.0,SRA,34.57,88.0,2011-10-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,23.12,,113.24,,waste water,,,,,,,,,,,,,
SRR350360,No,SRS265846,SRX099450,soil,2011-10-01,152.0,23445256.0,3563678912.0,SRA,25.82,71.0,,,Miscanthus Bulk Soil Replicate 1 Project,ILLUMINA,,,,,,,,,,,bulk soil,,,,,,,,
SRR3065764,No,SRS1220727,SRX1508148,sludge; water,2016-12-30,253.0,27974838.0,7074095273.0,SRA,32.96,81.0,2011-10-30,,Lignocellulolytic bacteria and archaea from anaerobic digesters Metagenome,ILLUMINA,,23.12,,113.24,,waste water,,,,,,,,,,,,,
SRR3067119,Not inferred,SRS1229274,SRX1508823,soil; water,2016-05-04,110.0,28336398.0,3114053479.0,SRA,23.0,3.0,2013-10-23,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067120,Not inferred,SRS1229273,SRX1508824,soil; water,2016-05-04,114.0,27044220.0,3072748879.0,SRA,23.09,3.0,2013-10-23,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067121,Not inferred,SRS1229272,SRX1508825,soil; water,2016-05-04,124.0,28460670.0,3519726028.0,SRA,22.95,3.0,2013-10-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067127,Not inferred,SRS1229266,SRX1508831,soil,2016-05-04,122.0,41715619.0,5108003463.0,SRA,22.89,3.0,2013-11-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067128,Not inferred,SRS1229265,SRX1508832,soil,2016-05-04,122.0,27909407.0,3405388203.0,SRA,23.23,3.0,2013-11-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067129,Not inferred,SRS1229264,SRX1508833,soil,2016-05-04,121.0,32724953.0,3951600977.0,SRA,23.59,4.0,2013-11-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067130,Not inferred,SRS1229263,SRX1508834,soil,2016-05-04,122.0,48286399.0,5879745788.0,SRA,22.94,3.0,2013-11-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067131,Not inferred,SRS1229262,SRX1508835,soil,2016-05-04,122.0,26932730.0,3286529642.0,SRA,23.0,3.0,2013-10-23,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067132,Not inferred,SRS1229261,SRX1508836,soil,2016-05-04,117.0,45124415.0,5301066820.0,SRA,23.47,3.0,2013-10-23,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067133,Not inferred,SRS1229260,SRX1508837,soil,2016-05-04,101.0,20977454.0,2114008508.0,SRA,24.08,5.0,2013-10-23,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067134,Not inferred,SRS1229259,SRX1508838,soil,2016-05-04,102.0,31775236.0,3250463036.0,SRA,23.94,5.0,2013-10-23,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067135,Not inferred,SRS1229258,SRX1508839,soil,2016-05-04,101.0,47101030.0,4756759208.0,SRA,23.75,4.0,2013-11-25,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067136,Not inferred,SRS1229257,SRX1508840,soil,2016-05-04,100.0,31007745.0,3115632011.0,SRA,23.94,4.0,2013-11-25,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067137,Not inferred,SRS1229256,SRX1508841,soil; water,2016-05-04,113.0,18066519.0,2049306083.0,SRA,23.75,4.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067138,Not inferred,SRS1229255,SRX1508842,soil; water,2016-05-04,117.0,19074296.0,2233217734.0,SRA,23.64,4.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067139,Not inferred,SRS1229254,SRX1508843,soil,2016-05-04,125.0,41037157.0,5113137832.0,SRA,23.24,3.0,2013-10-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067140,Not inferred,SRS1229253,SRX1508844,soil,2016-05-04,124.0,27791237.0,3442533239.0,SRA,23.54,3.0,2013-10-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067141,Not inferred,SRS1229251,SRX1508845,soil,2016-05-04,122.0,48938902.0,5959856218.0,SRA,23.56,4.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067142,Not inferred,SRS1229252,SRX1508846,soil,2016-05-04,120.0,45364089.0,5435545435.0,SRA,23.27,3.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067143,Not inferred,SRS1229250,SRX1508847,soil,2016-05-04,122.0,28056898.0,3417922332.0,SRA,23.39,3.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067144,Not inferred,SRS1229248,SRX1508848,soil,2016-05-04,128.0,27616111.0,3528540252.0,SRA,23.32,3.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067145,Not inferred,SRS1229249,SRX1508849,soil,2016-05-04,96.0,28771477.0,2755395677.0,SRA,23.97,4.0,2013-11-25,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067146,Not inferred,SRS1229247,SRX1508850,soil,2016-05-04,102.0,40540335.0,4125496902.0,SRA,23.75,4.0,2013-11-25,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067147,Not inferred,SRS1229245,SRX1508851,soil,2016-05-04,109.0,27383486.0,2996774138.0,SRA,23.91,4.0,2013-10-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067148,Not inferred,SRS1229246,SRX1508852,soil,2016-05-04,102.0,14931942.0,1521373051.0,SRA,23.78,4.0,2013-10-22,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,Canada,,,,,,,,,,,,,,,,
SRR3067149,Not inferred,SRS1229244,SRX1508853,soil,2016-05-04,98.0,27102333.0,2647982584.0,SRA,23.71,5.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067150,Not inferred,SRS1229242,SRX1508854,soil,2016-05-04,100.0,38602086.0,3843578404.0,SRA,23.58,4.0,2013-11-29,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067151,Not inferred,SRS1229243,SRX1508855,soil; water,2016-05-04,109.0,16012046.0,1746401581.0,SRA,23.75,4.0,2013-11-25,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3067152,Not inferred,SRS1229241,SRX1508856,soil; water,2016-05-04,103.0,15678464.0,1617679453.0,SRA,23.46,4.0,2013-11-25,,Beef and dairy metagenomic samples Raw sequence reads,ION_TORRENT,,,United States of America,,,,,,,,,,,,,,,,
SRR3098759,No,SRS1246325,SRX1528712,soil; water,2016-03-11,300.0,9632401.0,2889720300.0,SRA,28.98,72.0,2013-05-26,,Kalamas River metagenomes Raw sequence reads,ILLUMINA,,39.5774,Greece,20.2547,,,,,,,,,,,,,,,
SRR3136869,No,SRS1271183,SRX1555457,water,2017-01-20,202.0,66711342.0,13475691084.0,SRA,33.14,82.0,2013-07-17,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,43.306999999999995,United States of America,-77.706,,,,,,,,,,,,,,,
SRR3136870,No,SRS1271183,SRX1555456,water,2017-01-20,202.0,27732045.0,5601873090.0,SRA,33.95,85.0,2013-07-17,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,43.306999999999995,United States of America,-77.706,,,,,,,,,,,,,,,
SRR3136871,No,SRS1271183,SRX1555458,water,2017-01-20,202.0,82274210.0,16619390420.0,SRA,33.14,82.0,2013-07-17,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,43.306999999999995,United States of America,-77.706,,,,,,,,,,,,,,,
SRR3137748,No,SRS1271655,SRX1556162,sediment; water,2017-01-20,202.0,62924250.0,12710698500.0,SRA,30.81,74.0,2013-07-17,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,43.306999999999995,United States of America,-77.706,,,,,,,,,,,,,,,
SRR3137749,No,SRS1271655,SRX1556160,sediment; water,2017-01-20,202.0,29816802.0,6022994004.0,SRA,31.94,78.0,2013-07-17,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,43.306999999999995,United States of America,-77.706,,,,,,,,,,,,,,,
SRR3137750,No,SRS1271655,SRX1556161,sediment; water,2017-01-20,202.0,92355940.0,18655899880.0,SRA,30.8,74.0,2013-07-17,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,43.306999999999995,United States of America,-77.706,,,,,,,,,,,,,,,
SRR3184675,No,SRS1308073,SRX1598072,,2016-03-01,300.0,169092476.0,50727742800.0,SRA,30.82,76.0,,,Biogas fermentation microbial communities from Germany - Plant 3 DNA2 metagenome,ILLUMINA,,52.0385,,8.4956,,,,,,silage,,,,,biogas,,,,
SRR3137752,No,SRS1271658,SRX1556164,water,2017-01-20,202.0,98492843.0,19895554286.0,SRA,33.31,83.0,2014-03-21,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,29.254,United States of America,-90.664,,,,,,,,,,,,,,,
SRR3137753,No,SRS1271658,SRX1556163,water,2017-01-20,202.0,91209406.0,18424300012.0,SRA,33.4,83.0,2014-03-21,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,29.254,United States of America,-90.664,,,,,,,,,,,,,,,
SRR3137754,No,SRS1271657,SRX1556166,sediment; water,2017-01-20,202.0,124659325.0,25181183650.0,SRA,34.77,89.0,2014-03-21,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,29.254,United States of America,-90.664,,,,,,,,,,,,,,,
SRR3137755,No,SRS1271657,SRX1556165,sediment; water,2017-01-20,202.0,108952052.0,22008314504.0,SRA,34.75,89.0,2014-03-21,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,29.254,United States of America,-90.664,,,,,,,,,,,,,,,
SRR3137756,No,SRS1271656,SRX1556167,water,2017-01-20,202.0,78579543.0,15873067686.0,SRA,33.45,83.0,2014-03-16,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,35.146,United States of America,-95.62700000000001,,,,,,,,,,,,,,,
SRR3137757,No,SRS1271656,SRX1556168,water,2017-01-20,202.0,82483311.0,16661628822.0,SRA,33.41,83.0,2014-03-16,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,35.146,United States of America,-95.62700000000001,,,,,,,,,,,,,,,
SRR3137758,No,SRS1271659,SRX1556171,sediment; water,2017-01-20,202.0,56994938.0,11512977476.0,SRA,30.82,74.0,2014-03-16,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,35.146,United States of America,-95.62700000000001,,,,,,,,,,,,,,,
SRR3137759,No,SRS1271659,SRX1556170,sediment; water,2017-01-20,202.0,43534328.0,8793934256.0,SRA,32.6,81.0,2014-03-16,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,35.146,United States of America,-95.62700000000001,,,,,,,,,,,,,,,
SRR3137760,No,SRS1271659,SRX1556172,sediment; water,2017-01-20,202.0,47829404.0,9661539608.0,SRA,30.81,74.0,2014-03-16,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,35.146,United States of America,-95.62700000000001,,,,,,,,,,,,,,,
SRR3137761,No,SRS1271659,SRX1556169,sediment; water,2017-01-20,202.0,42187018.0,8521777636.0,SRA,32.69,81.0,2014-03-16,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,35.146,United States of America,-95.62700000000001,,,,,,,,,,,,,,,
SRR3138794,No,SRS1272508,SRX1557106,water,2017-01-20,202.0,75138434.0,15177963668.0,SRA,36.96,95.0,2014-05-24,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,53.0305,Netherlands,5.729,,,,,,,,,,,,,,,
SRR3138795,No,SRS1272508,SRX1557107,water,2017-01-20,202.0,80869917.0,16335723234.0,SRA,36.96,95.0,2014-05-24,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,53.0305,Netherlands,5.729,,,,,,,,,,,,,,,
SRR3138797,No,SRS1272512,SRX1557112,sediment; water,2017-01-20,202.0,72936572.0,14733187544.0,SRA,35.49,92.0,2014-05-24,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,53.0305,Netherlands,5.729,,,,,,,,,,,,,,,
SRR3138798,No,SRS1272512,SRX1557113,sediment; water,2017-01-20,202.0,82326826.0,16630018852.0,SRA,35.64,92.0,2014-05-24,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,53.0305,Netherlands,5.729,,,,,,,,,,,,,,,
SRR3138799,No,SRS1272520,SRX1557115,water,2017-01-20,202.0,80238336.0,16208143872.0,SRA,36.79,94.0,2014-05-23,,Metagenomic assembly of Eurytemora affinis & water column microbiomes,ILLUMINA,,52.699,Netherlands,5.29,,,,,,,,,,,,,,,
